Frame,ROI_location,ROI_transition,Distance_cm,Velocity,Acceleration
80,b2,False,0.1272236705386411,0.038167101161592325,-0.13116419270649451
81,b2,False,0.1126498713490306,0.033794961404709174,-0.5202517848550441
82,b2,False,0.0548441174762479,0.01645323524287437,-0.08320856162551743
83,b2,False,0.0455987217400793,0.013679616522023789,0.0026876473385211395
84,b2,False,0.0458973492221372,0.01376920476664116,0.353255500346697
85,b2,False,0.0851479603717702,0.02554438811153106,0.011645014423344244
86,b2,False,0.0864418508632529,0.025932555258975868,-0.05959443275005232
87,b2,False,0.0798202472243582,0.023946074167307457,0.16504019470868034
88,b2,False,0.0981580466364338,0.029447413990930135,0.8282603179154836
89,b2,False,0.1901869708492653,0.05705609125477959,0.25611925484189046
90,b2,False,0.2186446658316976,0.06559339974950927,0.541313891693572
91,b2,False,0.27879065379765,0.083637196139295,0.3227850039130484
